"","positives","child_6_59_tested_malaria","edu_a","wealth","pop_density_0m","median_age","med_treat_fever","precipitation_monthly_0m","EVI_0m","lat","lon","first_interview_month","dhs_year","pos","ID","month_year","ID2"
"239",0,9,4.13223140495868,78.5123966942149,2577.943359375,19,100,284.349243164062,0.409638643264771,7.015229,6.120247,9,2018,"(0.0204677912842341,-0.829626452771753)","1","9 _ 2018","1"
"240",0,8,6.2015503875969,72.0930232558139,2577.94262695312,18,100,219.837966918945,0.314056992530823,7.005417,6.059799,10,2018,"(0.0162773183413244,-0.855058248974579)","1","10 _ 2018","1"
"242",0,8,8.52713178294574,100,2159.88525390625,11,75,152.42219543457,0.312647759914398,6.809252,6.101932,10,2018,"(-0.0675001097921736,-0.83733197400413)","1","10 _ 2018","1"
"244",0,7,6.55737704918033,79.5081967213115,3148.142578125,22,100,31.3701152801514,0.374342948198318,6.883261,6.10439,11,2018,"(-0.0358926177383817,-0.836297839623066)","1","11 _ 2018","1"
"245",0,6,7.2992700729927,100,1915.4091796875,12,100,103.367820739746,0.41142201423645,6.840007,6.12573,10,2018,"(-0.0543653772851221,-0.82731963470366)","1","10 _ 2018","1"
"247",0,8,1.2987012987013,100,3148.142578125,15,100,31.3701152801514,0.0834473073482513,6.790345,6.121604,11,2018,"(-0.075574841949898,-0.82905553318058)","1","11 _ 2018","1"
"248",0,7,7.01754385964912,85.9649122807018,1102.32531738281,22,100,152.42219543457,0.375167042016983,6.960391,6.073236,10,2018,"(-0.00295222046090239,-0.849405009072889)","1","10 _ 2018","1"
"249",0,7,6.77966101694915,83.8983050847458,3148.142578125,24,100,152.42219543457,0.379251837730408,6.93989,6.067855,10,2018,"(-0.0117077122875018,-0.851668913509221)","1","10 _ 2018","1"
"250",0,9,6.08108108108108,100,326.233612060547,14,100,31.3701152801514,0.308228731155396,6.92465,6.035277,11,2018,"(-0.0182163555457514,-0.865375190916176)","1","11 _ 2018","1"
"251",0,10,7.08661417322835,94.488188976378,398.878356933594,17.5,100,31.3701152801514,0.404756247997284,6.871689,6.041593,11,2018,"(-0.0408347450208269,-0.862717911522035)","1","11 _ 2018","1"
"252",0,4,4.42477876106195,67.2566371681416,1554.73449707031,22,50,311.554229736328,0.436916351318359,6.8355,5.93651,8,2018,"(-0.0562902103011938,-0.906928628839094)","1","8 _ 2018","1"
"253",3,7,6.48148148148148,61.1111111111111,656.4052734375,26,33.3333333333333,311.554229736328,0.448120176792145,6.889438,5.892675,8,2018,"(-0.0332545672524101,-0.925370972449319)","1","8 _ 2018","1"
"254",0,7,9.44881889763779,96.0629921259843,818.189880371094,16,100,230.383880615234,0.404041618108749,6.99588,5.989642,9,2018,"(0.0122042913889671,-0.884574833910419)","1","9 _ 2018","1"
"255",1,7,0.854700854700855,44.4444444444444,2577.94287109375,21,100,230.383880615234,0.427054047584534,6.913803,5.954988,9,2018,"(-0.0228488524894675,-0.899154529940275)","1","9 _ 2018","1"
"256",0,5,3.38983050847458,63.5593220338983,3148.14306640625,29,100,284.349243164062,0.466069728136063,7.067103,5.98803,9,2018,"(0.042621948789381,-0.885253037580994)","1","9 _ 2018","1"
"257",2,11,3.16455696202532,92.4050632911392,233.515762329102,17,100,284.349243164062,0.416424602270126,7.038411,6.020044,9,2018,"(0.0303682747496371,-0.871784047314364)","1","9 _ 2018","1"
"258",4,14,0,65.8730158730159,509.261474609375,22,90,284.349243164062,0.567334651947021,7.149825,5.92119,9,2018,"(0.0779505569002019,-0.913374088040842)","1","9 _ 2018","1"
"259",1,16,6.16438356164384,88.3561643835616,389.120086669922,23,100,284.349243164062,0.404561877250671,7.11617,5.96403,9,2018,"(0.0635773030382345,-0.895350362701227)","1","9 _ 2018","1"
"260",2,9,0.793650793650794,3.96825396825397,568.321655273438,16,50,233.121627807617,0.56366491317749,7.84793,6.253003,8,2018,"(0.376094677753237,-0.773773098869186)","1","8 _ 2018","1"
"261",4,7,2.17391304347826,13.768115942029,650.192932128906,14,66.6666666666667,234.073699951172,0.436945796012878,8.003362,6.564073,8,2018,"(0.442476005766113,-0.642899143654571)","1","8 _ 2018","1"
"262",5,10,0,0,650.192932128906,11,40,4.30699253082275,0.32438987493515,8.387895,6.291257,12,2018,"(0.606700947893702,-0.757678804071295)","1","12 _ 2018","1"
"263",4,15,0.561797752808989,0,509.644104003906,12,73.3333333333333,300.187866210938,0.473711788654327,8.37825,6.490916,9,2018,"(0.602581796697782,-0.673677894230439)","1","9 _ 2018","1"
"264",6,14,3.46820809248555,41.6184971098266,568.321655273438,11.5,57.1428571428572,283.691131591797,0.412096828222275,8.211671,6.633045,9,2018,"(0.531439848842406,-0.613881114146542)","1","9 _ 2018","1"
"265",2,8,1.29032258064516,4.51612903225806,738.440002441406,12,33.3333333333333,283.691131591797,0.436616271734238,8.217252,6.700858,9,2018,"(0.533823361836125,-0.585350701297444)","1","9 _ 2018","1"
"266",0,6,1.36986301369863,9.58904109589041,738.440002441406,13,62.5,4.71502351760864,0.290013700723648,8.239001,6.282982,12,2018,"(0.543111844921668,-0.761160277628375)","1","12 _ 2018","1"
"267",4,11,0,0,726.319396972656,15,45.4545454545454,241.922821044922,0.369220972061157,7.881783,6.318118,9,2018,"(0.390552492728403,-0.746377793652355)","1","9 _ 2018","1"
"268",3,10,6.13496932515337,19.0184049079755,575.931396484375,13.5,55.5555555555556,253.154632568359,0.405111461877823,8.013434,6.169925,9,2018,"(0.446777518554636,-0.808725831216631)","1","9 _ 2018","1"
"269",4,10,0,11.6438356164384,738.440063476562,14,42.8571428571429,184.611297607422,0.364096134901047,8.056814,6.133686,10,2018,"(0.465304089718866,-0.823972371426302)","1","10 _ 2018","1"
"270",3,7,0,16.260162601626,688.819030761719,17,100,189.462326049805,0.490538120269775,7.986732,6.131785,10,2018,"(0.435373726410163,-0.824772163720201)","1","10 _ 2018","1"
"271",0,8,3.68098159509202,30.6748466257669,717.074951171875,14,100,196.580200195312,0.469412624835968,8.135945,6.042792,8,2018,"(0.499099066731237,-0.862213465987903)","1","8 _ 2018","1"
"272",0,9,6.47482014388489,71.9424460431655,688.818908691406,13.5,50,208.231750488281,0.414366662502289,8.274612,6.150758,8,2018,"(0.55832046008371,-0.816789807490777)","1","8 _ 2018","1"
"273",1,14,1.11111111111111,21.6666666666667,1032.29333496094,15,70,202.156631469727,0.400330871343613,8.262641,6.047588,8,2018,"(0.553207929345882,-0.860195683851377)","1","8 _ 2018","1"
"274",4,10,0.645161290322581,8.38709677419355,1098.83752441406,15,72.7272727272727,177.901458740234,0.377973228693008,7.979536,6.075939,10,2018,"(0.432300485144653,-0.848267797831222)","1","10 _ 2018","1"
"275",2,10,0.657894736842105,19.0789473684211,665.540222167969,15,50,189.462326049805,0.399704158306122,7.839927,6.139513,10,2018,"(0.372676785889998,-0.821520825031486)","1","10 _ 2018","1"
"276",6,11,1.43884892086331,2.87769784172662,665.540222167969,18,70,196.580200195312,0.422608911991119,7.736865,6.183899,10,2018,"(0.328661445241591,-0.802846663665375)","1","10 _ 2018","1"
"277",2,15,1.20481927710843,22.289156626506,665.540161132812,13,46.6666666666667,188.192901611328,0.437008053064346,7.740779,6.101386,10,2018,"(0.330333021994399,-0.837561688150616)","1","10 _ 2018","1"
"279",3,9,4.41988950276243,31.4917127071823,587.358825683594,17,40,177.901458740234,0.447027385234833,7.833027,6.091556,10,2018,"(0.369729959217956,-0.841697384231111)","1","10 _ 2018","1"
"280",1,7,9.6,71.2,219.023620605469,21.5,100,53.0878868103027,0.367797940969467,7.796617,6.029581,11,2018,"(0.354180110068818,-0.867771622744711)","1","11 _ 2018","1"
"281",1,8,5.73248407643312,44.5859872611465,302.652465820312,15,66.6666666666667,53.0878868103027,0.437684059143066,7.842454,6.032999,11,2018,"(0.373756007774092,-0.866333595358838)","1","11 _ 2018","1"
"282",1,11,3.54609929078014,47.5177304964539,667.47705078125,15.5,100,53.0878868103027,0.386687785387039,7.766694,6.023303,11,2018,"(0.341400705067728,-0.870412914707412)","1","11 _ 2018","1"
"283",0,9,12.2137404580153,93.8931297709924,568.321716308594,18,66.6666666666667,4.66968679428101,0.220530956983566,7.955312,5.87753,12,2018,"(0.421954988144139,-0.931742805322065)","1","12 _ 2018","1"
"284",10,12,10.077519379845,66.6666666666667,648.490112304688,17.5,100,4.66968679428101,0.28789609670639,7.895591,5.899132,12,2018,"(0.396449562683121,-0.922654371270096)","1","12 _ 2018","1"
"285",0,10,3.44827586206897,51.7241379310345,650.19287109375,19,100,78.3156051635742,0.427143901586533,7.843652,5.741607,11,2018,"(0.374267645216571,-0.988928585418623)","1","11 _ 2018","1"
"286",4,11,5.6,13.6,1098.63171386719,21.5,71.4285714285714,78.3156051635742,0.443026006221771,7.835992,5.811532,11,2018,"(0.370996240534275,-0.959509607958945)","1","11 _ 2018","1"
